,Export Capacity (MW)
MA00-ES00,600.0
ME00-RS00,580.0
MK00-AL00 Real 1,500.0
MK00-AL00 Virtual 1,1000.0
MK00-RS00,450.0
MK00-RS00 Concept 2,500.0
MK00-RS00 Virtual 2,500.0
NL00-NOS0,700.0
NL00-UK00,1000.0
NL00-UK00 Real 1,2000.0
NOM1-NON1,1300.0
NOM1-NOS0,1400.0
NOM1-SE02,600.0
NON1-SE01,700.0
NON1-SE02,250.0
NOS0-SE03,2145.0
NOS0-UK00 Real 1,1400.0
NOS0-UK00 Real 2,1400.0
PL00-PLE0,3000.0
PL00-SE04,600.0
PLE0-CZ00,800.0
PLE0-DE00,3000.0
PLE0-SK00,990.0
PLI0-PL00,2000.0
RO00-RS00,476.0
RO00-RS00 Real 1,680.0
RO00-RS00 Real 2,844.0
RO00-UA01,150.0
RU00-LV00,300.0
RU00-NON1,50.0
SE01-SE02,3300.0
SE02-SE03,8900.0
SE03-LV00 Real 1,500.0
SE03-SE04,6200.0
SK00-PL00 Concept 2,500.0
SK00-PLI0,990.0
SK00-UA01,650.0
TN00-IT00,600.0
UK00-BE00 Real 1,1400.0
UK00-BE00 Real 2,1400.0
UK00-NOS0,1400.0
UK00-UKNI,450.0
UK00-UKNI Real 1,700.0
