,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_153,0.008,0.013,0.029,0.019,0.011,0.012,0.016
t_154,0.049,0.085,0.133,0.201,0.112,0.058,0.053
t_155,0.102,0.068,0.028,0.013,0.049,0.019,0.035
t_156,0.119,0.067,0.074,0.023,0.096,0.031,0.049
t_157,0.131,0.079,0.13,0.02,0.095,0.051,0.093
t_158,0.094,0.049,0.028,0.015,0.079,0.048,0.076
t_159,0.122,0.035,0.04,0.017,0.059,0.143,0.057
t_160,0.088,0.032,0.043,0.054,0.03,0.038,0.029
t_161,0.028,0.009,0.01,0.003,0.009,0.009,0.008
t_162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_177,0.026,0.015,0.004,0.004,0.011,0.006,0.014
t_178,0.22,0.127,0.071,0.033,0.088,0.11,0.087
t_179,0.317,0.245,0.124,0.039,0.156,0.224,0.051
t_180,0.38,0.316,0.375,0.192,0.245,0.312,0.061
t_181,0.351,0.318,0.332,0.462,0.283,0.399,0.084
t_182,0.262,0.384,0.401,0.499,0.323,0.526,0.096
t_183,0.11,0.188,0.213,0.489,0.31,0.283,0.037
t_184,0.029,0.066,0.075,0.178,0.208,0.082,0.021
t_185,0.01,0.013,0.026,0.014,0.021,0.018,0.007
t_186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_201,0.01,0.012,0.029,0.033,0.053,0.043,0.017
t_202,0.089,0.044,0.192,0.221,0.202,0.119,0.075
t_203,0.139,0.09,0.053,0.239,0.395,0.073,0.082
t_204,0.18,0.134,0.053,0.101,0.262,0.1,0.12
t_205,0.286,0.17,0.152,0.176,0.25,0.192,0.047
t_206,0.232,0.15,0.124,0.146,0.183,0.143,0.059
t_207,0.194,0.23,0.175,0.052,0.099,0.123,0.06
t_208,0.141,0.186,0.206,0.027,0.045,0.116,0.069
t_209,0.046,0.046,0.027,0.005,0.006,0.023,0.02
t_210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_225,0.024,0.034,0.033,0.045,0.04,0.038,0.032
t_226,0.14,0.193,0.181,0.202,0.263,0.308,0.105
t_227,0.178,0.313,0.242,0.426,0.501,0.508,0.198
t_228,0.204,0.245,0.181,0.332,0.449,0.438,0.223
t_229,0.125,0.146,0.133,0.274,0.416,0.384,0.246
t_230,0.132,0.13,0.094,0.27,0.381,0.251,0.357
t_231,0.123,0.127,0.056,0.122,0.27,0.184,0.377
t_232,0.064,0.091,0.039,0.06,0.156,0.087,0.191
t_233,0.018,0.032,0.012,0.012,0.022,0.019,0.023
t_234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_249,0.028,0.03,0.032,0.017,0.047,0.024,0.039
t_250,0.212,0.136,0.115,0.121,0.241,0.183,0.376
t_251,0.369,0.168,0.063,0.265,0.324,0.23,0.557
t_252,0.482,0.169,0.118,0.507,0.5,0.434,0.696
t_253,0.509,0.201,0.214,0.57,0.565,0.487,0.758
t_254,0.456,0.189,0.191,0.328,0.486,0.369,0.676
t_255,0.336,0.106,0.119,0.155,0.311,0.175,0.526
t_256,0.173,0.075,0.092,0.087,0.118,0.085,0.316
t_257,0.045,0.024,0.025,0.029,0.021,0.026,0.046
t_258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_273,0.036,0.034,0.034,0.031,0.026,0.024,0.044
t_274,0.21,0.148,0.117,0.09,0.112,0.108,0.269
t_275,0.291,0.167,0.073,0.015,0.081,0.064,0.318
t_276,0.296,0.124,0.089,0.018,0.095,0.075,0.349
t_277,0.24,0.126,0.092,0.018,0.1,0.077,0.533
t_278,0.271,0.137,0.101,0.028,0.118,0.082,0.635
t_279,0.242,0.139,0.09,0.025,0.103,0.076,0.511
t_280,0.154,0.096,0.049,0.01,0.06,0.054,0.3
t_281,0.032,0.033,0.019,0.008,0.014,0.019,0.042
t_282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_290,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_297,0.039,0.059,0.052,0.053,0.034,0.047,0.075
t_298,0.296,0.359,0.263,0.081,0.152,0.195,0.382
t_299,0.486,0.483,0.303,0.051,0.231,0.208,0.564
t_300,0.552,0.532,0.334,0.055,0.304,0.219,0.703
t_301,0.533,0.505,0.334,0.041,0.298,0.215,0.716
t_302,0.587,0.589,0.446,0.122,0.288,0.272,0.66
t_303,0.552,0.57,0.431,0.258,0.236,0.352,0.538
t_304,0.356,0.383,0.339,0.28,0.136,0.304,0.312
t_305,0.113,0.085,0.082,0.065,0.024,0.062,0.047
t_306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_320,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_321,0.03,0.047,0.051,0.06,0.056,0.047,0.064
t_322,0.205,0.2,0.217,0.132,0.189,0.149,0.308
t_323,0.288,0.168,0.186,0.042,0.243,0.109,0.438
t_324,0.382,0.208,0.312,0.077,0.406,0.153,0.665
t_325,0.375,0.192,0.309,0.051,0.3,0.132,0.679
t_326,0.36,0.212,0.335,0.064,0.289,0.145,0.545
t_327,0.325,0.234,0.301,0.07,0.224,0.135,0.382
t_328,0.203,0.154,0.171,0.036,0.106,0.083,0.226
t_329,0.061,0.054,0.039,0.015,0.023,0.023,0.044
t_330,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_345,0.034,0.047,0.053,0.067,0.078,0.059,0.037
t_346,0.263,0.188,0.172,0.385,0.365,0.362,0.149
