,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_153,0.008,0.013,0.029,0.019,0.011,0.012,0.016
t_154,0.046,0.074,0.115,0.165,0.095,0.052,0.051
t_155,0.093,0.066,0.028,0.013,0.044,0.019,0.034
t_156,0.102,0.061,0.068,0.023,0.073,0.03,0.048
t_157,0.104,0.068,0.106,0.021,0.073,0.046,0.092
t_158,0.073,0.044,0.028,0.016,0.059,0.045,0.072
t_159,0.075,0.033,0.039,0.017,0.044,0.078,0.055
t_160,0.045,0.024,0.028,0.034,0.025,0.028,0.028
t_161,0.016,0.007,0.007,0.003,0.007,0.008,0.008
t_162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_177,0.026,0.015,0.004,0.004,0.01,0.007,0.015
t_178,0.178,0.109,0.064,0.032,0.07,0.094,0.08
t_179,0.239,0.191,0.102,0.037,0.113,0.168,0.046
t_180,0.258,0.219,0.248,0.147,0.157,0.21,0.057
t_181,0.226,0.208,0.218,0.255,0.172,0.241,0.074
t_182,0.164,0.206,0.207,0.219,0.163,0.23,0.086
t_183,0.076,0.108,0.102,0.125,0.112,0.118,0.036
t_184,0.029,0.045,0.047,0.057,0.061,0.052,0.022
t_185,0.009,0.009,0.012,0.009,0.011,0.011,0.007
t_186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_201,0.01,0.012,0.029,0.033,0.05,0.042,0.017
t_202,0.081,0.041,0.161,0.18,0.158,0.1,0.07
t_203,0.124,0.08,0.048,0.18,0.273,0.069,0.078
t_204,0.156,0.116,0.054,0.093,0.179,0.097,0.109
t_205,0.208,0.137,0.14,0.153,0.17,0.161,0.048
t_206,0.166,0.125,0.11,0.124,0.114,0.119,0.06
t_207,0.123,0.123,0.107,0.05,0.06,0.087,0.059
t_208,0.067,0.064,0.06,0.027,0.031,0.054,0.048
t_209,0.019,0.016,0.013,0.005,0.006,0.013,0.015
t_210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_225,0.024,0.033,0.033,0.044,0.038,0.037,0.03
t_226,0.118,0.159,0.154,0.166,0.201,0.242,0.095
t_227,0.141,0.231,0.191,0.301,0.333,0.347,0.17
t_228,0.166,0.18,0.152,0.242,0.29,0.291,0.183
t_229,0.105,0.124,0.117,0.196,0.252,0.241,0.184
t_230,0.107,0.113,0.089,0.167,0.199,0.168,0.208
t_231,0.098,0.097,0.052,0.083,0.118,0.112,0.14
t_232,0.048,0.058,0.031,0.034,0.056,0.057,0.064
t_233,0.014,0.017,0.009,0.008,0.012,0.013,0.016
t_234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_249,0.027,0.029,0.032,0.017,0.043,0.023,0.035
t_250,0.171,0.116,0.103,0.107,0.189,0.152,0.277
t_251,0.268,0.138,0.061,0.199,0.232,0.174,0.369
t_252,0.312,0.137,0.106,0.316,0.306,0.284,0.402
t_253,0.291,0.163,0.17,0.302,0.293,0.28,0.359
t_254,0.224,0.148,0.141,0.191,0.22,0.201,0.259
t_255,0.134,0.086,0.094,0.107,0.127,0.113,0.124
t_256,0.061,0.055,0.058,0.056,0.059,0.058,0.044
t_257,0.018,0.016,0.014,0.014,0.012,0.014,0.016
t_258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_273,0.034,0.033,0.035,0.031,0.025,0.023,0.04
t_274,0.166,0.126,0.104,0.08,0.093,0.095,0.208
t_275,0.204,0.136,0.065,0.016,0.063,0.056,0.235
t_276,0.199,0.103,0.077,0.019,0.071,0.062,0.252
t_277,0.143,0.101,0.077,0.018,0.072,0.063,0.302
t_278,0.144,0.104,0.08,0.028,0.083,0.063,0.257
t_279,0.103,0.09,0.064,0.026,0.065,0.056,0.134
t_280,0.048,0.049,0.032,0.01,0.031,0.035,0.048
t_281,0.017,0.018,0.012,0.007,0.011,0.014,0.016
t_282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_290,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_297,0.037,0.056,0.052,0.052,0.031,0.046,0.066
t_298,0.232,0.281,0.217,0.073,0.116,0.16,0.285
t_299,0.338,0.339,0.229,0.047,0.154,0.155,0.377
t_300,0.345,0.332,0.227,0.053,0.183,0.152,0.407
t_301,0.303,0.286,0.215,0.04,0.162,0.141,0.357
t_302,0.262,0.255,0.223,0.104,0.136,0.158,0.268
t_303,0.159,0.146,0.143,0.119,0.088,0.138,0.138
t_304,0.054,0.05,0.057,0.053,0.044,0.054,0.051
t_305,0.023,0.02,0.019,0.016,0.013,0.017,0.018
t_306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_320,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_321,0.029,0.045,0.051,0.059,0.052,0.046,0.057
t_322,0.169,0.166,0.182,0.113,0.148,0.126,0.237
t_323,0.223,0.134,0.153,0.039,0.173,0.091,0.312
t_324,0.257,0.145,0.221,0.073,0.253,0.118,0.393
t_325,0.234,0.131,0.202,0.05,0.175,0.102,0.35
t_326,0.209,0.132,0.19,0.064,0.147,0.107,0.25
t_327,0.144,0.111,0.131,0.069,0.097,0.093,0.142
t_328,0.068,0.053,0.064,0.035,0.042,0.052,0.068
t_329,0.02,0.019,0.019,0.011,0.013,0.016,0.022
t_330,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_345,0.033,0.046,0.054,0.067,0.073,0.058,0.035
t_346,0.207,0.149,0.149,0.312,0.277,0.285,0.128
