,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_153,0.008,0.012,0.026,0.018,0.011,0.011,0.015
t_154,0.046,0.076,0.119,0.173,0.098,0.054,0.052
t_155,0.098,0.068,0.028,0.013,0.046,0.019,0.035
t_156,0.114,0.065,0.073,0.023,0.088,0.031,0.05
t_157,0.125,0.078,0.127,0.021,0.09,0.051,0.095
t_158,0.092,0.049,0.028,0.016,0.076,0.048,0.077
t_159,0.117,0.036,0.04,0.017,0.058,0.137,0.058
t_160,0.084,0.032,0.042,0.052,0.03,0.038,0.029
t_161,0.027,0.009,0.01,0.003,0.009,0.009,0.008
t_162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_177,0.022,0.014,0.004,0.004,0.01,0.007,0.014
t_178,0.181,0.111,0.065,0.032,0.073,0.097,0.081
t_179,0.278,0.221,0.116,0.038,0.133,0.199,0.049
t_180,0.341,0.287,0.339,0.18,0.213,0.281,0.06
t_181,0.323,0.295,0.309,0.42,0.255,0.365,0.083
t_182,0.248,0.356,0.371,0.454,0.295,0.48,0.097
t_183,0.107,0.181,0.2,0.442,0.284,0.266,0.038
t_184,0.03,0.065,0.073,0.164,0.191,0.08,0.022
t_185,0.01,0.013,0.025,0.013,0.02,0.018,0.007
t_186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_201,0.009,0.011,0.025,0.028,0.043,0.036,0.017
t_202,0.082,0.042,0.167,0.189,0.166,0.103,0.071
t_203,0.132,0.085,0.051,0.214,0.337,0.072,0.081
t_204,0.174,0.129,0.054,0.1,0.234,0.101,0.118
t_205,0.27,0.164,0.152,0.174,0.231,0.188,0.049
t_206,0.223,0.148,0.124,0.144,0.171,0.141,0.061
t_207,0.187,0.219,0.168,0.053,0.095,0.12,0.062
t_208,0.136,0.176,0.19,0.027,0.044,0.11,0.067
t_209,0.045,0.044,0.026,0.005,0.007,0.022,0.02
t_210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_225,0.021,0.028,0.029,0.038,0.033,0.032,0.028
t_226,0.119,0.163,0.159,0.173,0.212,0.252,0.096
t_227,0.158,0.271,0.221,0.371,0.418,0.432,0.185
t_228,0.192,0.224,0.174,0.307,0.396,0.393,0.211
t_229,0.121,0.143,0.132,0.259,0.377,0.354,0.232
t_230,0.129,0.13,0.095,0.255,0.35,0.241,0.33
t_231,0.122,0.126,0.056,0.118,0.251,0.178,0.343
t_232,0.063,0.089,0.039,0.057,0.145,0.086,0.175
t_233,0.018,0.031,0.012,0.012,0.021,0.018,0.023
t_234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_249,0.023,0.025,0.028,0.015,0.037,0.021,0.031
t_250,0.173,0.118,0.105,0.11,0.198,0.157,0.29
t_251,0.317,0.154,0.063,0.237,0.278,0.204,0.459
t_252,0.425,0.16,0.116,0.452,0.433,0.388,0.59
t_253,0.458,0.195,0.207,0.513,0.498,0.442,0.652
t_254,0.419,0.185,0.185,0.308,0.439,0.345,0.594
t_255,0.314,0.105,0.117,0.151,0.288,0.17,0.467
t_256,0.165,0.074,0.089,0.085,0.113,0.083,0.282
t_257,0.044,0.024,0.024,0.027,0.02,0.025,0.043
t_258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_273,0.029,0.029,0.03,0.027,0.023,0.021,0.036
t_274,0.168,0.128,0.106,0.082,0.096,0.097,0.216
t_275,0.243,0.153,0.07,0.016,0.07,0.061,0.275
t_276,0.261,0.118,0.086,0.019,0.085,0.071,0.317
t_277,0.215,0.122,0.09,0.018,0.093,0.074,0.475
t_278,0.249,0.132,0.099,0.028,0.112,0.079,0.561
t_279,0.226,0.134,0.087,0.026,0.099,0.074,0.456
t_280,0.146,0.092,0.047,0.01,0.058,0.053,0.269
t_281,0.032,0.032,0.018,0.008,0.014,0.019,0.039
t_282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_290,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_297,0.031,0.046,0.044,0.044,0.027,0.039,0.055
t_298,0.235,0.287,0.223,0.074,0.121,0.165,0.296
t_299,0.407,0.411,0.27,0.05,0.189,0.182,0.465
t_300,0.479,0.466,0.301,0.056,0.258,0.197,0.596
t_301,0.477,0.454,0.308,0.042,0.262,0.198,0.622
t_302,0.532,0.534,0.408,0.121,0.259,0.255,0.584
t_303,0.506,0.52,0.393,0.242,0.217,0.329,0.48
t_304,0.331,0.354,0.306,0.255,0.127,0.28,0.28
t_305,0.108,0.08,0.074,0.06,0.023,0.058,0.044
t_306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_320,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_321,0.025,0.037,0.043,0.05,0.045,0.039,0.049
t_322,0.17,0.168,0.186,0.116,0.154,0.129,0.245
t_323,0.253,0.151,0.171,0.041,0.205,0.101,0.372
t_324,0.337,0.186,0.284,0.077,0.351,0.142,0.567
t_325,0.341,0.178,0.285,0.052,0.267,0.126,0.593
t_326,0.336,0.2,0.311,0.065,0.262,0.14,0.49
t_327,0.306,0.222,0.28,0.071,0.207,0.131,0.349
t_328,0.193,0.147,0.16,0.036,0.099,0.081,0.208
t_329,0.059,0.053,0.037,0.015,0.022,0.023,0.042
t_330,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_345,0.028,0.037,0.044,0.055,0.061,0.048,0.032
t_346,0.208,0.151,0.152,0.323,0.289,0.294,0.13
