,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4469,0.0,0.001,0.002,0.003,0.003,0.002,0.002
t_4470,0.024,0.017,0.027,0.03,0.037,0.03,0.031
t_4471,0.067,0.052,0.073,0.061,0.071,0.081,0.092
t_4472,0.12,0.101,0.103,0.127,0.12,0.13,0.161
t_4473,0.144,0.149,0.158,0.166,0.17,0.167,0.301
t_4474,0.195,0.181,0.215,0.174,0.222,0.172,0.45
t_4475,0.302,0.239,0.27,0.232,0.262,0.19,0.596
t_4476,0.332,0.256,0.227,0.205,0.201,0.23,0.693
t_4477,0.487,0.225,0.233,0.157,0.193,0.213,0.8
t_4478,0.518,0.213,0.243,0.116,0.201,0.132,0.865
t_4479,0.369,0.191,0.156,0.163,0.227,0.11,0.856
