,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_153,0.008,0.011,0.021,0.0155,0.010499999999999999,0.010499999999999999,0.015
t_154,0.041499999999999995,0.057499999999999996,0.0845,0.1105,0.07250000000000001,0.043,0.048
t_155,0.086,0.0635,0.0275,0.013,0.040999999999999995,0.0185,0.033
t_156,0.097,0.059,0.066,0.023,0.0685,0.0295,0.0475
t_157,0.1035,0.0675,0.1055,0.021,0.073,0.046,0.092
t_158,0.0765,0.045,0.028,0.016,0.063,0.0455,0.073
t_159,0.0895,0.034,0.0395,0.017,0.049,0.0985,0.056
t_160,0.063,0.028,0.0345,0.042,0.0275,0.0325,0.0285
t_161,0.023,0.0085,0.0085,0.003,0.0085,0.0085,0.008
t_162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
