zone,week,level
FR00,w45,0.73
FR00,w46,0.71375
FR00,w47,0.6975
FR00,w48,0.68125
FR00,w49,0.665
FR00,w50,0.6381707317073171
FR00,w51,0.6113414634146341
FR00,w52,0.5845121951219512
FR00,w53,0.5576829268292682
SE01,w1,0.5622262014787431
SE01,w2,0.5356677449168205
SE01,w3,0.5113481977818852
SE01,w4,0.47787546210720866
SE01,w5,0.44525531423290177
SE01,w6,0.4080013863216265
SE01,w7,0.3784346118299448
SE01,w8,0.3494674214417746
SE01,w9,0.32661390942698715
SE01,w10,0.3065711645101664
SE01,w11,0.2822238909426987
SE01,w12,0.27482439926062846
SE01,w13,0.26534126617375237
SE01,w14,0.253144061922366
SE01,w15,0.23937546210720886
SE01,w16,0.23748140018484284
SE01,w17,0.23853673752310536
SE01,w18,0.2538375693160813
SE01,w19,0.2628618299445471
SE01,w20,0.25456892329020325
SE01,w21,0.25755776340110903
SE01,w22,0.27623879390018485
SE01,w23,0.3302530036968576
SE01,w24,0.3882670979667284
SE01,w25,0.45010743992606267
SE01,w26,0.5150046210720887
SE01,w27,0.5834265249537891
SE01,w28,0.6440053142329019
SE01,w29,0.6839175138632161
SE01,w30,0.7067710258780038
SE01,w31,0.7191127541589647
SE01,w32,0.721854205175601
SE01,w33,0.7199272181146025
SE01,w34,0.7155221811460255
SE01,w35,0.7090619223659889
SE01,w36,0.7243807763401107
SE01,w37,0.7308999537892789
SE01,w38,0.719421210720887
SE01,w39,0.7140630776340108
SE01,w40,0.7240653881700552
SE01,w41,0.726307763401109
SE01,w42,0.7309034195933458
SE01,w43,0.7265434380776339
SE01,w44,0.7299260628465802
SE01,w45,0.7292744916820699
SE01,w46,0.7246303142329018
SE01,w47,0.718790434380776
SE01,w48,0.7019223659889093
SE01,w49,0.6744558687615526
SE01,w50,0.6517652495378927
SE01,w51,0.6189891404805914
SE01,w52,0.5960905730129391
SE01,w53,0.5622262014787431
SE02,w1,0.6280946180356117
SE02,w2,0.609498311315336
SE02,w3,0.5697557587593338
SE02,w4,0.5254707983917288
SE02,w5,0.47418237334865015
SE02,w6,0.4215579460080413
SE02,w7,0.38244823664560595
SE02,w8,0.3371894009190121
SE02,w9,0.31177723090178056
SE02,w10,0.28589746008041356
SE02,w11,0.26294634692705343
SE02,w12,0.25418850028719125
SE02,w13,0.2521598862722573
