index,week,MWh
AL00_Dam_upper_node,w46,566.6353214433964
AL00_Dam_upper_node,w47,918.0079609380055
AL00_Dam_upper_node,w48,756.6006388005393
AL00_Dam_upper_node,w49,815.4812776509434
AL00_Dam_upper_node,w50,769.6431613126684
AL00_Dam_upper_node,w51,688.2922589582208
AL00_Dam_upper_node,w52,804.2888882479787
AL00_Dam_upper_node,w53,822.2162506522911
AT00_Dam_upper_node,w1,66.75598082405607
AT00_Dam_upper_node,w2,66.25607846666549
AT00_Dam_upper_node,w3,65.82934587065418
AT00_Dam_upper_node,w4,65.80778609858059
AT00_Dam_upper_node,w5,65.93622742669434
AT00_Dam_upper_node,w6,66.11873078125386
AT00_Dam_upper_node,w7,67.30405348526185
AT00_Dam_upper_node,w8,70.27333903197298
AT00_Dam_upper_node,w9,74.4354518048703
AT00_Dam_upper_node,w10,78.78361282024541
AT00_Dam_upper_node,w11,84.6610517438009
AT00_Dam_upper_node,w12,93.25899557769822
AT00_Dam_upper_node,w13,103.67597523922048
AT00_Dam_upper_node,w14,114.25393152265649
AT00_Dam_upper_node,w15,126.35178278130418
AT00_Dam_upper_node,w16,144.0225822823949
AT00_Dam_upper_node,w17,167.26633002592877
AT00_Dam_upper_node,w18,192.0299727446742
AT00_Dam_upper_node,w19,218.30186123344006
AT00_Dam_upper_node,w20,255.73476842035603
AT00_Dam_upper_node,w21,307.5175567906076
AT00_Dam_upper_node,w22,365.893533812662
AT00_Dam_upper_node,w23,424.15163001992505
AT00_Dam_upper_node,w24,471.30759640960986
AT00_Dam_upper_node,w25,494.3001037845659
AT00_Dam_upper_node,w26,498.4988097036214
AT00_Dam_upper_node,w27,500.157812723231
AT00_Dam_upper_node,w28,498.17897391813955
AT00_Dam_upper_node,w29,482.86138175581107
AT00_Dam_upper_node,w30,454.20503623624546
AT00_Dam_upper_node,w31,421.91084889197884
AT00_Dam_upper_node,w32,389.70019425286824
AT00_Dam_upper_node,w33,358.4334591820198
AT00_Dam_upper_node,w34,328.5784268283066
AT00_Dam_upper_node,w35,299.51695517357456
AT00_Dam_upper_node,w36,270.51337587493015
AT00_Dam_upper_node,w37,243.39653898691418
AT00_Dam_upper_node,w38,221.4884012325139
AT00_Dam_upper_node,w39,204.2084264853814
AT00_Dam_upper_node,w40,187.8315079347891
AT00_Dam_upper_node,w41,172.11421407290797
AT00_Dam_upper_node,w42,159.77749674067178
AT00_Dam_upper_node,w43,151.24540038082333
AT00_Dam_upper_node,w44,144.09144845988916
AT00_Dam_upper_node,w45,136.86131264843263
AT00_Dam_upper_node,w46,127.95988168338036
AT00_Dam_upper_node,w47,116.08530460298422
AT00_Dam_upper_node,w48,102.22276591883734
AT00_Dam_upper_node,w49,88.20170336406125
AT00_Dam_upper_node,w50,76.21666720574923
AT00_Dam_upper_node,w51,69.85245605647876
AT00_Dam_upper_node,w52,68.50054087179048
AT00_Dam_upper_node,w53,9.765747258584529
BA00_Dam_upper_node,w1,135.10119047619048
BA00_Dam_upper_node,w2,112.33333333333333
BA00_Dam_upper_node,w3,157.8452380952381
BA00_Dam_upper_node,w4,166.79166666666666
BA00_Dam_upper_node,w5,166.45238095238096
BA00_Dam_upper_node,w6,150.33333333333334
BA00_Dam_upper_node,w7,122.2797619047619
BA00_Dam_upper_node,w8,80.83333333333333
BA00_Dam_upper_node,w9,112.60714285714286
BA00_Dam_upper_node,w10,141.01785714285714
BA00_Dam_upper_node,w11,168.92261904761904
BA00_Dam_upper_node,w12,227.47619047619048
BA00_Dam_upper_node,w13,182.05357142857142
BA00_Dam_upper_node,w14,215.3095238095238
BA00_Dam_upper_node,w15,129.53571428571428
BA00_Dam_upper_node,w16,173.625
BA00_Dam_upper_node,w17,177.83333333333334
BA00_Dam_upper_node,w18,219.61904761904762
BA00_Dam_upper_node,w19,236.98214285714286
BA00_Dam_upper_node,w20,237.33333333333334
BA00_Dam_upper_node,w21,235.0952380952381
BA00_Dam_upper_node,w22,232.79166666666666
BA00_Dam_upper_node,w23,234.6547619047619
BA00_Dam_upper_node,w24,188.6904761904762
BA00_Dam_upper_node,w25,154.61309523809524
BA00_Dam_upper_node,w26,155.51190476190476
BA00_Dam_upper_node,w27,157.41666666666666
BA00_Dam_upper_node,w28,134.45833333333334
BA00_Dam_upper_node,w29,147.27380952380952
BA00_Dam_upper_node,w30,167.91666666666666
BA00_Dam_upper_node,w31,168.25595238095238
BA00_Dam_upper_node,w32,159.125
BA00_Dam_upper_node,w33,163.7797619047619
BA00_Dam_upper_node,w34,162.45238095238096
BA00_Dam_upper_node,w35,195.125
BA00_Dam_upper_node,w36,159.78571428571428
BA00_Dam_upper_node,w37,143.42261904761904
BA00_Dam_upper_node,w38,143.11904761904762
BA00_Dam_upper_node,w39,137.35714285714286
BA00_Dam_upper_node,w40,142.13690476190476
BA00_Dam_upper_node,w41,169.64285714285714
BA00_Dam_upper_node,w42,180.5297619047619
BA00_Dam_upper_node,w43,177.70238095238096
BA00_Dam_upper_node,w44,173.95238095238096
BA00_Dam_upper_node,w45,144.45833333333334
BA00_Dam_upper_node,w46,153.04761904761904
BA00_Dam_upper_node,w47,112.42261904761905
BA00_Dam_upper_node,w48,86.53571428571429
BA00_Dam_upper_node,w49,96.11904761904762
BA00_Dam_upper_node,w50,136.25
BA00_Dam_upper_node,w51,268.5059523809524
BA00_Dam_upper_node,w52,243.5952380952381
BA00_Dam_upper_node,w53,183.70238095238096
BG00_Dam_upper_node,w1,137.43558521028731
BG00_Dam_upper_node,w2,258.6945265491043
BG00_Dam_upper_node,w3,413.82863200305775
BG00_Dam_upper_node,w4,362.7367105969623
BG00_Dam_upper_node,w5,511.8740124659736
BG00_Dam_upper_node,w6,424.9259692592889
BG00_Dam_upper_node,w7,308.3183295338958
BG00_Dam_upper_node,w8,195.3790998341358
BG00_Dam_upper_node,w9,139.2417216942844
BG00_Dam_upper_node,w10,172.2757174872575
BG00_Dam_upper_node,w11,155.96341522331727
BG00_Dam_upper_node,w12,181.60288838118407
BG00_Dam_upper_node,w13,175.6782469252309
BG00_Dam_upper_node,w14,177.8472033515803
BG00_Dam_upper_node,w15,145.69616433606177
BG00_Dam_upper_node,w16,122.77752640789785
BG00_Dam_upper_node,w17,109.36613186772823
BG00_Dam_upper_node,w18,146.9181623153789
BG00_Dam_upper_node,w19,250.97347459476606
BG00_Dam_upper_node,w20,353.4462124624723
BG00_Dam_upper_node,w21,452.3950617941707
BG00_Dam_upper_node,w22,440.60341983121396
BG00_Dam_upper_node,w23,506.080579363447
BG00_Dam_upper_node,w24,456.43451385645676
BG00_Dam_upper_node,w25,453.9597004529167
BG00_Dam_upper_node,w26,382.426937650864
BG00_Dam_upper_node,w27,388.3151159060056
BG00_Dam_upper_node,w28,377.4665617190011
BG00_Dam_upper_node,w29,337.22462442935375
BG00_Dam_upper_node,w30,349.42707525986754
BG00_Dam_upper_node,w31,344.6516779593009
BG00_Dam_upper_node,w32,336.77873298251643
BG00_Dam_upper_node,w33,318.7119442722389
BG00_Dam_upper_node,w34,310.90006714427716
