zone,week,Minimum Reservoir levels at beginning of each week,Maximum Reservoir level at beginning of each week
CH00,52,0.06229307173513182,1
CH00,53,0.06229307173513182,1
ES00,1,0.278,0.725
ES00,2,0.27825,0.7344999999999999
ES00,3,0.2785,0.744
ES00,4,0.2787499999999999,0.7535000000000001
ES00,5,0.279,0.763
ES00,6,0.2805,0.76325
ES00,7,0.282,0.7635
ES00,8,0.2835,0.7637499999999999
ES00,9,0.285,0.764
ES00,10,0.3008,0.7668
ES00,11,0.3165999999999999,0.7696000000000001
ES00,12,0.3323999999999999,0.7724000000000001
ES00,13,0.3481999999999999,0.7752000000000001
ES00,14,0.364,0.778
ES00,15,0.36775,0.77975
ES00,16,0.3715000000000001,0.7815000000000001
ES00,17,0.3752500000000001,0.7832500000000001
ES00,18,0.379,0.785
ES00,19,0.3732,0.7832
ES00,20,0.3673999999999999,0.7814
ES00,21,0.3615999999999999,0.7796
ES00,22,0.3557999999999999,0.7777999999999999
ES00,23,0.35,0.776
ES00,24,0.338,0.75875
ES00,25,0.326,0.7415
ES00,26,0.3139999999999999,0.7242500000000001
ES00,27,0.302,0.707
ES00,28,0.29275,0.68875
ES00,29,0.2835,0.6705
ES00,30,0.27425,0.65225
ES00,31,0.265,0.634
ES00,32,0.2624,0.6252
ES00,33,0.2598,0.6164
ES00,34,0.2572,0.6075999999999999
ES00,35,0.2546,0.5987999999999999
ES00,36,0.252,0.59
ES00,37,0.248,0.586
ES00,38,0.244,0.582
ES00,39,0.24,0.578
ES00,40,0.236,0.574
ES00,41,0.23625,0.5862499999999999
ES00,42,0.2365,0.5984999999999999
ES00,43,0.23675,0.6107499999999999
ES00,44,0.237,0.623
ES00,45,0.2422,0.6492
ES00,46,0.2474,0.6754
ES00,47,0.2526,0.7016
ES00,48,0.2578,0.7278
ES00,49,0.263,0.754
ES00,50,0.266,0.7482
ES00,51,0.269,0.7424
ES00,52,0.272,0.7365999999999999
ES00,53,0.275,0.7307999999999999
FI00,1,0.3390596745027125,0.7770343580470163
FI00,2,0.3309222423146474,0.7600361663652803
FI00,3,0.3189873417721519,0.733996383363472
FI00,4,0.3059674502712477,0.7119349005424955
FI00,5,0.2989150090415913,0.6909584086799276
FI00,6,0.2909584086799277,0.6670886075949367
FI00,7,0.2679927667269439,0.6450271247739602
FI00,8,0.2439421338155515,0.6269439421338155
FI00,9,0.2209764918625678,0.5929475587703436
FI00,10,0.2030741410488246,0.5649186256781193
FI00,11,0.1900542495479204,0.5379746835443038
FI00,12,0.1699819168173599,0.5059674502712478
FI00,13,0.150994575045208,0.4799276672694394
FI00,14,0.133996383363472,0.466003616636528
FI00,15,0.132,0.4719710669077758
FI00,16,0.1390596745027125,0.4670886075949367
FI00,17,0.1450271247739602,0.5399638336347197
FI00,18,0.1500904159132007,0.6529837251356239
FI00,19,0.1600361663652803,0.7560578661844485
FI00,20,0.2399638336347197,0.7960216998191681
FI00,21,0.3640144665461121,0.8059674502712477
FI00,22,0.3849909584086799,0.8130198915009041
FI00,23,0.3900542495479205,0.8390596745027125
FI00,24,0.3969258589511754,0.8430379746835444
FI00,25,0.3900542495479205,0.8350813743218807
FI00,26,0.3869801084990959,0.8209764918625678
FI00,27,0.3770343580470163,0.8399638336347197
FI00,28,0.3759493670886076,0.8509945750452079
FI00,29,0.3759493670886076,0.8640144665461121
FI00,30,0.3679927667269439,0.8699819168173598
FI00,31,0.3589511754068716,0.8719710669077758
FI00,32,0.3479204339963833,0.8629294755877034
FI00,33,0.3399638336347197,0.8609403254972875
FI00,34,0.3390596745027125,0.8750452079566003
FI00,35,0.3470162748643761,0.8770343580470162
FI00,36,0.3479204339963833,0.8679927667269439
FI00,37,0.350994575045208,0.8620253164556962
FI00,38,0.3629294755877034,0.8649186256781194
FI00,39,0.366003616636528,0.8770343580470162
FI00,40,0.3690777576853526,0.8759493670886076
FI00,41,0.3710669077757686,0.8779385171790235
FI00,42,0.3799276672694394,0.8770343580470162
FI00,43,0.3860759493670886,0.866003616636528
FI00,44,0.3920433996383363,0.8629294755877034
FI00,45,0.3989150090415913,0.8529837251356238
FI00,46,0.4070524412296564,0.8470162748643761
FI00,47,0.4130198915009042,0.8390596745027125
