plant_name,node,year,scenario,weather_year,H2_export,H2_import,H2_net_export,net_demand_electrolysis,electrolysis_demand
AT00_electrolyzer,AT00,2040,DistributedEnergy,1995,-17765.61853705,0.0,-17765.61853705,17051785.35242,34817.40388947
DKE1_electrolyzer,DKE1,2040,DistributedEnergy,1995,-11424.72031145,-43399.03642388,31974.316112430002,38960706.61417001,6986.39050174
DKW1_electrolyzer,DKW1,2040,DistributedEnergy,1995,0.0,-60707.69152676,60707.69152676,72091937.81341,11384.24628665
BE00_electrolyzer,BE00,2040,DistributedEnergy,1995,-13538.663552880003,28148.14882628,-41686.81237916001,32549567.26658999,74236.37964575
CZ00_electrolyzer,CZ00,2040,DistributedEnergy,1995,-23947.235617470003,0.0,-23947.235617470003,18849497.19197,42796.73280944
ES00_electrolyzer,ES00,2040,DistributedEnergy,1995,36500.437880640005,5011.81226829,31488.625612350006,151398240.46157,119909.61484922
UK00_electrolyzer,UK00,2040,DistributedEnergy,1995,0.0,160981.34031256,-160981.34031256,67338715.88862999,228320.05620119
HU00_electrolyzer,HU00,2040,DistributedEnergy,1995,-23436.65929278,-2401.79076261,-21034.868530170002,20173032.20991,41207.900740080004
LU00_electrolyzer,LU00,2040,DistributedEnergy,1995,0.0,0.0,0.0,0.0,0.0
NL00_electrolyzer,NL00,2040,DistributedEnergy,1995,44371.29568465,-65319.41123564,109690.70692029,191905377.08349,82214.6701632
PL00_electrolyzer,PL00,2040,DistributedEnergy,1995,16541.23682466,49143.589498829984,-32602.352674169982,58397800.29136001,91000.15296553
PT00_electrolyzer,PT00,2040,DistributedEnergy,1995,0.0,-34706.31876922,34706.31876922,52003865.563209996,17297.54679399
SI00_electrolyzer,SI00,2040,DistributedEnergy,1995,0.0,3336.9235329400008,-3336.9235329400008,4740084.935259999,8077.0084682
SK00_electrolyzer,SK00,2040,DistributedEnergy,1995,0.0,8346.354682689998,-8346.354682689998,8954307.21722,17300.66189991
HR00_electrolyzer,HR00,2040,DistributedEnergy,1995,-1798.07340122,0.0,-1798.07340122,6975165.4312,8773.23883242
SE01_electrolyzer,SE01,2040,DistributedEnergy,1995,49224.35453417,36462.95077222001,12761.403761949994,16206735.426399995,3445.33166445
SE02_electrolyzer,SE02,2040,DistributedEnergy,1995,47563.46653312,49224.35453417,-1660.8880010499997,4465013.86765,6125.9018687
SE03_electrolyzer,SE03,2040,DistributedEnergy,1995,30446.07866249,47563.46653312,-17117.387870630002,10001065.64283,27118.45351346
SE04_electrolyzer,SE04,2040,DistributedEnergy,1995,0.0,1772.5478611500012,-1772.5478611500012,6740844.932629999,8513.39279378
NON1_electrolyzer,NON1,2040,DistributedEnergy,1995,0.0,0.0,0.0,0.0,0.0
NOM1_electrolyzer,NOM1,2040,DistributedEnergy,1995,0.0,0.0,0.0,0.0,0.0
NOS0_electrolyzer,NOS0,2040,DistributedEnergy,1995,0.0,0.0,0.0,0.0,0.0
CH00_electrolyzer,CH00,2040,DistributedEnergy,2008,-9.99855132022276e-09,0.0,-9.99855132022276e-09,-9.99855132022276e-06,0.0
IT00_electrolyzer,IT00,2040,DistributedEnergy,2008,671.7849111300001,124763.99312311999,-124092.20821198999,104746247.49754,228838.45570952998
DE00_electrolyzer,DE00,2040,DistributedEnergy,2008,-185923.41651208999,76424.14426251,-262347.5607746,226876746.65343994,489224.30742803996
FR00_electrolyzer,FR00,2040,DistributedEnergy,2008,0.0,-56885.957188700006,56885.957188700006,171288593.55017,114402.63636147
AT00_electrolyzer,AT00,2040,DistributedEnergy,2008,-17897.944434600002,0.0,-17897.944434600002,16919459.454869997,34817.40388947
DKE1_electrolyzer,DKE1,2040,DistributedEnergy,2008,-10003.358100650003,-42069.7555183,32066.397417649998,39052787.91939,6986.39050174
DKW1_electrolyzer,DKW1,2040,DistributedEnergy,2008,0.0,-57835.4805992,57835.4805992,69219726.88584998,11384.24628665
BE00_electrolyzer,BE00,2040,DistributedEnergy,2008,-11824.568718029994,30394.6269365,-42219.19565452999,32017183.99122001,74236.37964575
CZ00_electrolyzer,CZ00,2040,DistributedEnergy,2008,-23560.431328389997,0.0,-23560.431328389997,19236301.481050003,42796.73280944
ES00_electrolyzer,ES00,2040,DistributedEnergy,2008,34181.89465018999,6014.81913945,28167.075510739993,148076690.35996,119909.61484922
UK00_electrolyzer,UK00,2040,DistributedEnergy,2008,0.0,161114.91621589,-161114.91621589,67205139.98529999,228320.05620119
HU00_electrolyzer,HU00,2040,DistributedEnergy,2008,-22779.59459588,-2244.95657622,-20534.63801966,20673262.720420003,41207.900740080004
LU00_electrolyzer,LU00,2040,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
NL00_electrolyzer,NL00,2040,DistributedEnergy,2008,44476.43321969,-67990.31255239001,112466.74577208,194681415.93528,82214.6701632
PL00_electrolyzer,PL00,2040,DistributedEnergy,2008,12841.57596014,44371.281723249995,-31529.705763109996,59470447.20242,91000.15296553
PT00_electrolyzer,PT00,2040,DistributedEnergy,2008,0.0,-33087.772912090004,33087.772912090004,50385319.706080005,17297.54679399
SI00_electrolyzer,SI00,2040,DistributedEnergy,2008,0.0,3280.2195730500007,-3280.2195730500007,4796788.895149999,8077.0084682
SK00_electrolyzer,SK00,2040,DistributedEnergy,2008,0.0,8139.476627579999,-8139.476627579999,9161185.27233,17300.66189991
HR00_electrolyzer,HR00,2040,DistributedEnergy,2008,-1684.35814655,0.0,-1684.35814655,7088880.68587,8773.23883242
SE01_electrolyzer,SE01,2040,DistributedEnergy,2008,46352.18557442,34548.671721520004,11803.513852899996,15248845.517349998,3445.33166445
SE02_electrolyzer,SE02,2040,DistributedEnergy,2008,44618.13396657,46352.18557442,-1734.0516078500004,4391850.260849999,6125.9018687
SE03_electrolyzer,SE03,2040,DistributedEnergy,2008,27828.68560181,44618.13396657,-16789.44836476,10329005.148700003,27118.45351346
SE04_electrolyzer,SE04,2040,DistributedEnergy,2008,0.0,983.5847693300011,-983.5847693300011,7529808.0244499985,8513.39279378
NON1_electrolyzer,NON1,2040,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
NOM1_electrolyzer,NOM1,2040,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
NOS0_electrolyzer,NOS0,2040,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
CH00_electrolyzer,CH00,2040,DistributedEnergy,2009,-1.0003226691424061e-08,0.0,-1.0003226691424061e-08,-1.000322669142406e-05,0.0
IT00_electrolyzer,IT00,2040,DistributedEnergy,2009,1278.11824846,123539.18681867,-122261.06857021,110535631.56343998,232796.70013364998
DE00_electrolyzer,DE00,2040,DistributedEnergy,2009,-184314.71558470998,78390.86312478001,-262705.57870949,234470728.71854994,497176.30742803996
FR00_electrolyzer,FR00,2040,DistributedEnergy,2009,0.0,-56204.329098930015,56204.329098930015,178633965.46040002,122429.63636147
AT00_electrolyzer,AT00,2040,DistributedEnergy,2009,-18023.87110783,0.0,-18023.87110783,16874532.781639997,34898.40388947
DKE1_electrolyzer,DKE1,2040,DistributedEnergy,2009,-10284.72402678999,-41824.99885086,31540.27482407001,40230665.325810015,8690.39050174
DKW1_electrolyzer,DKW1,2040,DistributedEnergy,2009,0.0,-58471.3055684,58471.3055684,69855551.85505,11384.24628665
BE00_electrolyzer,BE00,2040,DistributedEnergy,2009,-12236.672962600003,29552.54347949,-41789.21644209,33925163.20366,75714.37964575
CZ00_electrolyzer,CZ00,2040,DistributedEnergy,2009,-23836.44967585,0.0,-23836.44967585,19856283.13359,43692.73280944
ES00_electrolyzer,ES00,2040,DistributedEnergy,2009,36231.498388110005,4915.53428733,31315.964100780006,153941578.95,122625.61484922
UK00_electrolyzer,UK00,2040,DistributedEnergy,2009,0.0,161694.98428898002,-161694.98428898002,66625071.91220997,228320.05620119
HU00_electrolyzer,HU00,2040,DistributedEnergy,2009,-23068.40203097,-2218.1337944,-20850.26823657,20598632.503510006,41448.900740080004
LU00_electrolyzer,LU00,2040,DistributedEnergy,2009,0.0,0.0,0.0,0.0,0.0
NL00_electrolyzer,NL00,2040,DistributedEnergy,2009,44788.89989952,-67111.84759097,111900.74749049,194115417.65369,82214.6701632
PL00_electrolyzer,PL00,2040,DistributedEnergy,2009,13130.56959898,46959.917619460015,-33829.348020480014,57730804.94504998,91560.15296553
PT00_electrolyzer,PT00,2040,DistributedEnergy,2009,0.0,-35181.217930169994,35181.217930169994,52478764.72415999,17297.54679399
SI00_electrolyzer,SI00,2040,DistributedEnergy,2009,0.0,3282.67806923,-3282.67806923,4911330.3989699995,8194.0084682
SK00_electrolyzer,SK00,2040,DistributedEnergy,2009,0.0,8286.577811570001,-8286.577811570001,9019084.088339997,17305.66189991
HR00_electrolyzer,HR00,2040,DistributedEnergy,2009,-1704.98873138,0.0,-1704.98873138,7068250.10104,8773.23883242
SE01_electrolyzer,SE01,2040,DistributedEnergy,2009,45939.0224066,33689.49488377001,12249.527522829994,17572859.187279996,5323.33166445
SE02_electrolyzer,SE02,2040,DistributedEnergy,2009,44189.2172467,45939.0224066,-1749.8051599000028,4376096.708799997,6125.9018687
SE03_electrolyzer,SE03,2040,DistributedEnergy,2009,27008.251954559997,44189.2172467,-17180.96529214,9937488.22132,27118.45351346
SE04_electrolyzer,SE04,2040,DistributedEnergy,2009,0.0,1421.8771081999996,-1421.8771081999996,7091515.68558,8513.39279378
NON1_electrolyzer,NON1,2040,DistributedEnergy,2009,0.0,0.0,0.0,0.0,0.0
NOM1_electrolyzer,NOM1,2040,DistributedEnergy,2009,0.0,0.0,0.0,0.0,0.0
NOS0_electrolyzer,NOS0,2040,DistributedEnergy,2009,0.0,0.0,0.0,0.0,0.0
CH00_electrolyzer,CH00,2050,DistributedEnergy,1995,-9.998984751291573e-09,0.0,-9.998984751291573e-09,-9.998984751291573e-06,0.0
IT00_electrolyzer,IT00,2050,DistributedEnergy,1995,2654.00376015,184033.95010192,-181379.94634177,105542491.39651999,286922.43773829
DE00_electrolyzer,DE00,2050,DistributedEnergy,1995,-218079.65618448996,130703.04060833999,-348782.69679282996,289639299.26825005,638421.99606108
FR00_electrolyzer,FR00,2050,DistributedEnergy,1995,0.0,-75482.84914737,75482.84914737,252651818.14244,177168.96899507
