node,nodeline,fuel,capacity
MT00,MT00,Wind Onshore,538.2
MT00,MT00,Wind Offshore,220.46
MT00,MT00RETE,Solar,159.56
NL00,NL00,Gas,33945.299999669995
NL00,NL00,Hydro,37.70000076
NL00,NL00,Solar,38471
NL00,NL00,Wind Onshore,9356
NL00,NL00,Other Non RES,917.4930157
NL00,NL00,Other RES,600
NL00,NL00,Wind Offshore,71573.91779200001
NL00,NL00H2R1,Solar,7828.7
NL00,NL00H2R1,Wind Onshore,6903.35
NL00,NL00H2R4,Wind Onshore,539.94
NL00,NL00H2R4,Wind Offshore,1264.114626
NL00,NL00HER4,Wind Onshore,600.94
NL00,NL00HER4,Wind Offshore,1161.967579
NL00,NL00RETE,Solar,35293.46
NOM1,NOM1,Hydro,4455.95361328
NOM1,NOM1,Solar,90
NOM1,NOM1,Wind Onshore,3558.14
NOM1,NOM1,Other Non RES,20
NON1,NON1,Gas,558.7
NON1,NON1,Hydro,5272.94042969
NON1,NON1,Wind Onshore,3758
NON1,NON1,Other Non RES,195
NON1,NON1,Other RES,0.03
NOS0,NOS0,Hydro,23491.78710938
NOS0,NOS0,Solar,243
NOS0,NOS0,Wind Onshore,5246
NOS0,NOS0,Other Non RES,50
NOS0,NOS0,Wind Offshore,4334.88
PL00,PL00,Gas,10033.0999996
PL00,PL00,Hydro,2309.46997559
PL00,PL00,Solar,3778.39
PL00,PL00,Wind Onshore,7623.4400000000005
PL00,PL00,Other Non RES,7219.660035
PL00,PL00,Other RES,550.29820862
PL00,PL00,Wind Offshore,18843.399999999998
PL00,PL00,Nuclear,9900
PL00,PL00H2R1,Solar,3924.72
PL00,PL00H2R1,Wind Onshore,11894.289999999999
PL00,PL00H2R4,Solar,536.87
PL00,PL00H2R4,Wind Onshore,764.7
PL00,PL00H2R4,Wind Offshore,913.5
PL00,PL00HER4,Solar,335.29
PL00,PL00HER4,Wind Onshore,797.62
PL00,PL00HER4,Wind Offshore,1146.9
PL00,PL00RETE,Solar,12063.92
PT00,PT00,Gas,2839.0000002
PT00,PT00,Hydro,8390.63299561
PT00,PT00,Solar,7966.03
PT00,PT00,Wind Onshore,9951.48
PT00,PT00,Other Non RES,440.1729736
PT00,PT00,Other RES,1177.7
PT00,PT00,Wind Offshore,796
PT00,PT00H2R1,Solar,15399.24
PT00,PT00H2R1,Wind Onshore,10578.9
PT00,PT00H2R4,Solar,1650.55
PT00,PT00H2R4,Wind Onshore,776.43
PT00,PT00H2R4,Wind Offshore,99.54
PT00,PT00HER4,Solar,743.18
PT00,PT00HER4,Wind Onshore,342.41
PT00,PT00HER4,Wind Offshore,58.02
PT00,PT00RETE,Solar,3435.8900000000003
RO00,RO00,Gas,4388.5020002
RO00,RO00,Hydro,6783.61437988
RO00,RO00,Solar,2310
RO00,RO00,Wind Onshore,5005
RO00,RO00,Other RES,350
RO00,RO00,Nuclear,2630
RO00,RO00H2R1,Solar,1640
RO00,RO00H2R1,Wind Onshore,3695
RO00,RO00RETE,Solar,3704
RS00,RS00,Gas,400.90000001
RS00,RS00,Hydro,3949.2900085399997
RS00,RS00,Solar,235
RS00,RS00,Wind Onshore,4628
RS00,RS00,Other RES,296.85
SE01,SE01,Gas,35
SE01,SE01,Hydro,5444
SE01,SE01,Solar,173.5
SE01,SE01,Wind Onshore,1440.66
SE01,SE01,Other RES,299.7
SE01,SE01,Wind Offshore,571.43
SE01,SE01H2R1,Wind Onshore,273.22
SE01,SE01RETE,Solar,269.6
SE02,SE02,Gas,53.748
SE02,SE02,Hydro,8075.10009766
SE02,SE02,Solar,294.95
SE02,SE02,Wind Onshore,3329.21
SE02,SE02,Other RES,767.57
SE02,SE02,Wind Offshore,971.43
SE02,SE02H2R1,Wind Onshore,1099.21
SE02,SE02RETE,Solar,540
SE03,SE03,Gas,57.041
SE03,SE03,Hydro,2583
SE03,SE03,Solar,1544.13
SE03,SE03,Wind Onshore,9454.9
SE03,SE03,Other RES,2865.4
SE03,SE03,Wind Offshore,5477.2699999999995
SE03,SE03,Nuclear,3567
SE03,SE03H2R1,Wind Onshore,2431.62
SE03,SE03RETE,Solar,3770.82
SE04,SE04,Hydro,345
SE04,SE04,Solar,416.39
SE04,SE04,Wind Onshore,2549.6400000000003
SE04,SE04,Other RES,822.0899999999999
SE04,SE04,Wind Offshore,1562.73
SE04,SE04H2R1,Wind Onshore,4217.43
SE04,SE04RETE,Solar,993
SI00,SI00,Gas,445
SI00,SI00,Hydro,1879.69995117
SI00,SI00,Solar,2063.99
SI00,SI00,Wind Onshore,257.95
SI00,SI00,Other Non RES,190
SI00,SI00,Other RES,101
SI00,SI00,Nuclear,1803
SI00,SI00H2R1,Solar,1786.02
SI00,SI00RETE,Solar,3046.29
SK00,SK00,Gas,802.38
SK00,SK00,Hydro,2539.5215168
SK00,SK00,Solar,476.25
SK00,SK00,Wind Onshore,435.6
SK00,SK00,Other Non RES,109.4100879
SK00,SK00,Other RES,722.58489579
SK00,SK00,Nuclear,3122.4000003
SK00,SK00H2R1,Solar,219.26
SK00,SK00H2R1,Wind Onshore,21.51
SK00,SK00RETE,Solar,662.61
TR00,TR00,Gas,59742.0600002
TR00,TR00,Hydro,39955.796875
TR00,TR00,Solar,48000
TR00,TR00,Wind Onshore,52488
TR00,TR00,Other Non RES,2000
TR00,TR00,Other RES,5150
TR00,TR00,Oil,64.9512
UA01,UA01,Gas,118
UA01,UA01,Hydro,68.60000038
UA01,UA01,Solar,756
UA01,UA01,Wind Onshore,324
UK00,UK00,Gas,25018.8700012
UK00,UK00,Hydro,5035.39990234
UK00,UK00,Solar,11758.49
UK00,UK00,Wind Onshore,39755
UK00,UK00,Other Non RES,2984.9292543
UK00,UK00,Other RES,9713.5
UK00,UK00,Oil,70.8
UK00,UK00,Wind Offshore,83445.93
UK00,UK00,Nuclear,16008.00000072
UK00,UK00H2R1,Solar,3837.6
UK00,UK00H2R1,Wind Onshore,5087.25
UK00,UK00H2R4,Wind Offshore,3874.89
UK00,UK00HER4,Wind Offshore,2662.48
UK00,UK00RETE,Solar,46875.43
UKNI,UKNI,Gas,1408.0000000999999
UKNI,UKNI,Hydro,6
UKNI,UKNI,Solar,148.98
UKNI,UKNI,Wind Onshore,1271
UKNI,UKNI,Other Non RES,9
UKNI,UKNI,Other RES,2962.1099999999997
UKNI,UKNI,Oil,389
UKNI,UKNI,Wind Offshore,1353.0600000000002
UKNI,UKNIH2R1,Solar,70.53
UKNI,UKNIH2R1,Wind Onshore,870.18
UKNI,UKNIHER4,Wind Offshore,63.5
UKNI,UKNIRETE,Solar,86.68
