node,nodeline,fuel,capacity
IE00,IE00,Other Non RES,67.4964624
IE00,IE00,Other RES,154
IE00,IE00,Oil,324
IE00,IE00,Wind Offshore,21497.73
IE00,IE00H2R1,Solar,744.56
IE00,IE00H2R1,Wind Onshore,8939.97
IE00,IE00H2R4,Solar,1149.4
IE00,IE00H2R4,Wind Onshore,3318.0299999999997
IE00,IE00H2R4,Wind Offshore,2205.7200000000003
IE00,IE00HER4,Solar,95.67
IE00,IE00HER4,Wind Onshore,267.67
IE00,IE00HER4,Wind Offshore,87.9
IE00,IE00RETE,Solar,991.27
IE00,IE00H2C5,Solar_stand alone,964
IT00,IT00,Gas,42660.20096717
IT00,IT00,Hydro,29079.120376580006
IT00,IT00,Solar,50849.329999999994
IT00,IT00,Wind Onshore,18250.5241323
IT00,IT00,Other Non RES,6534.00058917
IT00,IT00,Other RES,4874.919999999999
IT00,IT00,Wind Offshore,12571.578319
IT00,IT00H2R1,Solar,86952.6572
IT00,IT00H2R1,Wind Onshore,24235.5876861
IT00,IT00H2R4,Solar,764.83992
IT00,IT00H2R4,Wind Onshore,328.3514669
IT00,IT00H2R4,Wind Offshore,175.5551859
IT00,IT00HER4,Solar,4311.57784
IT00,IT00HER4,Wind Onshore,1739.19671385
IT00,IT00HER4,Wind Offshore,1252.8664951
IT00,IT00RETE,Solar,88949.43000000001
IT00,IT00H2C5,Solar_stand alone,18670
LT00,LT00,Gas,840.2
LT00,LT00,Hydro,1056.19999695
LT00,LT00,Solar,1487.5
LT00,LT00,Wind Onshore,1760
LT00,LT00,Other Non RES,135
LT00,LT00,Other RES,212.39
LT00,LT00,Oil,150
LT00,LT00,Wind Offshore,1725.370409
LT00,LT00H2R1,Solar,725.5
LT00,LT00H2R1,Wind Onshore,3406.54
LT00,LT00RETE,Solar,1210.57
LT00,LT00H2C5,Solar_stand alone,511
LUG1,LUG1,Gas,789.5918291
LUG1,LUG1,Hydro,43
LUG1,LUG1,Wind Onshore,534
LUG1,LUG1,Other Non RES,100
LUG1,LUG1,Other RES,121.3
LUG1,LUG1RETE,Solar,726.48
LUG1,LUG1H2C5,Onshore Wind_stand alone,25
LUG1,LUG1H2C5,Solar_stand alone,71
LUV1,LUV1,Hydro,1310
LV00,LV00,Gas,617.129071
LV00,LV00,Hydro,1601
LV00,LV00,Solar,734.81
LV00,LV00,Wind Onshore,348.48
LV00,LV00,Other RES,300
LV00,LV00,Wind Offshore,1256.460284
LV00,LV00H2R1,Solar,773.66
LV00,LV00H2R1,Wind Onshore,1931.52
LV00,LV00RETE,Solar,222.84
LV00,LV00H2C5,Solar_stand alone,179
ME00,ME00,Hydro,1137.25302124
ME00,ME00,Solar,5514.15
ME00,ME00,Wind Onshore,1212
ME00,ME00,Other RES,49
MK00,MK00,Hydro,1480.38998413
MK00,MK00,Solar,11552.95
MK00,MK00,Wind Onshore,605.1999999999999
MK00,MK00,Other RES,31
MK00,MK00RETE,Solar,70
MT00,MT00,Gas,728.550763
MT00,MT00,Solar,659.04
MT00,MT00,Wind Onshore,936
MT00,MT00,Wind Offshore,174.95
MT00,MT00RETE,Solar,227.94
NL00,NL00,Gas,46660.37680966999
NL00,NL00,Hydro,37.70000076
NL00,NL00,Solar,44486.97352
NL00,NL00,Wind Onshore,9676
NL00,NL00,Other Non RES,917.4930157
NL00,NL00,Other RES,600
NL00,NL00,Wind Offshore,60136.836796
NL00,NL00H2R1,Solar,23710.07081
NL00,NL00H2R1,Wind Onshore,10324.24
NL00,NL00H2R4,Solar,902.955665
NL00,NL00H2R4,Wind Offshore,1863.160221
NL00,NL00RETE,Solar,50369.420000000006
NOM1,NOM1,Hydro,4455.95361328
NOM1,NOM1,Solar,90
NOM1,NOM1,Wind Onshore,4475.0599999999995
NOM1,NOM1,Other Non RES,20
NON1,NON1,Gas,0
NON1,NON1,Hydro,5272.94042969
NON1,NON1,Wind Onshore,4798.8
NON1,NON1,Other Non RES,195
NON1,NON1,Other RES,0.03
NOS0,NOS0,Gas,878
NOS0,NOS0,Hydro,23491.78710938
NOS0,NOS0,Solar,243
NOS0,NOS0,Wind Onshore,7541.75
NOS0,NOS0,Other Non RES,50
NOS0,NOS0,Wind Offshore,1450.2
PL00,PL00,Gas,29409.4700696
PL00,PL00,Hydro,2309.46997559
PL00,PL00,Solar,5397.7
PL00,PL00,Wind Onshore,13623.44
PL00,PL00,Other Non RES,7219.660035
PL00,PL00,Other RES,549.18575134
PL00,PL00,Wind Offshore,14060.87759
PL00,PL00H2R1,Solar,4261.38
PL00,PL00H2R1,Wind Onshore,34079.42
PL00,PL00HER4,Solar,10875.41
PL00,PL00HER4,Wind Onshore,15485.829999999998
PL00,PL00HER4,Wind Offshore,1586.05
PL00,PL00RETE,Solar,19353.879999999997
PL00,PL00H2C5,Solar_stand alone,1341
PT00,PT00,Gas,2839.0000002
PT00,PT00,Hydro,8390.63299561
PT00,PT00,Solar,13104.9
