 node , nodeline , fuel , DistributedEnergy_1995_capacity , DistributedEnergy_2008_capacity , DistributedEnergy_2009_capacity , GlobalAmbition_1995_capacity , GlobalAmbition_2008_capacity , GlobalAmbition_2009_capacity 
 DKW1 , DKW1H2R4 , Solar , 8’683 , 8’683 , 8’683 ,,,
 DKW1 , DKW1H2R4 , Wind Onshore , 291 , 291 , 291 , 124 , 124 , 124 
 DKW1 , DKW1H2R4 , Wind Offshore , 11’059 , 11’059 , 11’059 , 2’262 , 2’262 , 2’262 
 DKW1 , DKW1RETE , Solar , 7’030 , 7’030 , 7’030 , 4’323 , 4’323 , 4’323 
 EE00 , EE00 , Gas , 419 , 419 , 419 ,,,
 EE00 , EE00 , Solar , 1’104 , 1’104 , 1’104 , 345 , 345 , 345 
 EE00 , EE00 , Wind Onshore , 1’902 , 1’902 , 1’902 , 737 , 737 , 737 
 EE00 , EE00 , Other Non RES , 155 , 155 , 155 , 155 , 155 , 155 
 EE00 , EE00 , Other RES , 286 , 286 , 286 , 286 , 286 , 286 
 EE00 , EE00 , Oil , 137 , 137 , 137 , 137 , 137 , 137 
 EE00 , EE00 , Wind Offshore , 967 , 967 , 967 , 1’329 , 1’329 , 1’329 
 EE00 , EE00H2R1 , Solar , 543 , 543 , 543 ,,,
 EE00 , EE00H2R1 , Wind Onshore , 2’792 , 2’792 , 2’792 ,,,
 EE00 , EE00RETE , Solar , 675 , 675 , 675 , 476 , 476 , 476 
 ES00 , ES00 , Gas , 24’876 , 24’876 , 24’876 , 24’499 , 24’499 , 24’499 
 ES00 , ES00 , Hydro , 24’162 , 24’162 , 24’162 , 24’162 , 24’162 , 24’162 
 ES00 , ES00 , Solar , 71’802 , 71’802 , 71’802 , 52’451 , 52’451 , 52’451 
 ES00 , ES00 , Wind Onshore , 49’252 , 49’252 , 49’252 , 43’890 , 43’890 , 43’890 
 ES00 , ES00 , Other Non RES , 3’980 , 3’980 , 3’980 , 3’980 , 3’980 , 3’980 
 ES00 , ES00 , Other RES , 1’730 , 1’730 , 1’730 , 1’730 , 1’730 , 1’730 
 ES00 , ES00 , Wind Offshore , 3’552 , 3’552 , 3’552 , 12’635 , 12’635 , 12’635 
 ES00 , ES00H2R1 , Solar , 64’593 , 64’593 , 64’593 , 64’098 , 64’098 , 64’098 
 ES00 , ES00H2R1 , Wind Onshore , 59’325 , 59’325 , 59’325 , 19’671 , 19’671 , 19’671 
 ES00 , ES00HER4 , Solar , 9’057 , 9’057 , 9’057 , 12’864 , 12’864 , 12’864 
 ES00 , ES00HER4 , Wind Onshore , 5’209 , 5’209 , 5’209 , 3’437 , 3’437 , 3’437 
 ES00 , ES00RETE , Solar , 66’588 , 66’588 , 66’588 , 29’713 , 29’713 , 29’713 
 FI00 , FI00 , Gas , 132 , 132 , 132 , 87 , 87 , 87 
 FI00 , FI00 , Hydro , 3’237 , 3’237 , 3’237 , 3’237 , 3’237 , 3’237 
 FI00 , FI00 , Solar , 5’748 , 5’748 , 5’748 , 1’087 , 1’087 , 1’087 
 FI00 , FI00 , Wind Onshore , 15’744 , 15’744 , 15’744 , 15’524 , 15’524 , 15’524 
 FI00 , FI00 , Other Non RES , 34 , 34 , 34 , 34 , 34 , 34 
 FI00 , FI00 , Other RES , 3’379 , 3’379 , 3’379 , 3’379 , 3’379 , 3’379 
 FI00 , FI00 , Wind Offshore , 7’482 , 7’482 , 7’482 , 5’508 , 5’508 , 5’508 
 FI00 , FI00 , Nuclear , 1’600 , 1’600 , 1’600 , 5’594 , 5’594 , 5’594 
 FI00 , FI00H2R1 , Wind Onshore , 37’780 , 37’780 , 37’780 , 15’562 , 15’562 , 15’562 
 FI00 , FI00H2R4 , Solar , 1’631 , 1’631 , 1’631 ,,,
 FI00 , FI00H2R4 , Wind Onshore , 15’639 , 15’639 , 15’639 , 5’930 , 5’930 , 5’930 
 FI00 , FI00RETE , Solar , 11’494 , 11’494 , 11’494 , 3’458 , 3’458 , 3’458 
 FR00 , FR00 , Gas , 43’858 , 43’858 , 43’858 , 4’687 , 4’687 , 4’687 
 FR00 , FR00 , Hydro , 28’290 , 28’290 , 28’290 , 28’290 , 28’290 , 28’290 
 FR00 , FR00 , Solar , 46’424 , 46’424 , 46’424 , 25’497 , 25’497 , 25’497 
 FR00 , FR00 , Wind Onshore , 40’802 , 40’802 , 40’802 , 40’802 , 40’802 , 40’802 
 FR00 , FR00 , Other Non RES , 821 , 821 , 821 , 821 , 821 , 821 
 FR00 , FR00 , Other RES , 2’550 , 2’550 , 2’550 , 2’550 , 2’550 , 2’550 
 FR00 , FR00 , Wind Offshore , 43’446 , 43’446 , 43’446 , 49’613 , 49’613 , 49’613 
 FR00 , FR00 , Nuclear , 15’209 , 15’209 , 15’209 , 51’606 , 51’606 , 51’606 
 FR00 , FR00H2R1 , Solar , 50’151 , 50’151 , 50’151 , 67’856 , 67’856 , 67’856 
 FR00 , FR00H2R1 , Wind Onshore , 74’771 , 74’771 , 74’771 , 44’610 , 44’610 , 44’610 
 FR00 , FR00H2R4 , Solar , 13’790 , 13’790 , 13’790 ,,,
 FR00 , FR00H2R4 , Wind Onshore , 3’223 , 3’223 , 3’223 ,,,
 FR00 , FR00H2R4 , Wind Offshore , 5’706 , 5’706 , 5’706 ,,,
 FR00 , FR00HER4 , Solar , 1’842 , 1’842 , 1’842 , 18’675 , 18’675 , 18’675 
 FR00 , FR00HER4 , Wind Onshore , 488 , 488 , 488 ,,,
 FR00 , FR00HER4 , Wind Offshore , 716 , 716 , 716 , 16’587 , 16’587 , 16’587 
 FR00 , FR00RETE , Solar , 111’624 , 111’624 , 111’624 , 84’200 , 84’200 , 84’200 
 FR00 , FR15 , Hydro , 196 , 196 , 196 , 196 , 196 , 196 
 FR00 , FR15 , Solar , 744 , 744 , 744 , 744 , 744 , 744 
 FR00 , FR15 , Wind Onshore , 156 , 156 , 156 , 156 , 156 , 156 
 FR00 , FR15 , Other RES , 36 , 36 , 36 , 36 , 36 , 36 
 GR00 , GR00 , Gas , 8’388 , 8’388 , 8’388 , 5’569 , 5’569 , 5’569 
 GR00 , GR00 , Hydro , 4’593 , 4’593 , 4’593 , 4’593 , 4’593 , 4’593 
 GR00 , GR00 , Solar , 8’004 , 8’004 , 8’004 , 3’503 , 3’503 , 3’503 
 GR00 , GR00 , Wind Onshore , 7’363 , 7’363 , 7’363 , 7’363 , 7’363 , 7’363 
 GR00 , GR00 , Other RES , 1’028 , 1’028 , 1’028 , 1’028 , 1’028 , 1’028 
 GR00 , GR00 , Wind Offshore , 2’084 , 2’084 , 2’084 , 4’672 , 4’672 , 4’672 
 GR00 , GR00H2R1 , Solar , 20’124 , 20’124 , 20’124 , 15’148 , 15’148 , 15’148 
 GR00 , GR00H2R1 , Wind Onshore , 12’660 , 12’660 , 12’660 , 6’084 , 6’084 , 6’084 
 GR00 , GR00RETE , Solar , 18’528 , 18’528 , 18’528 , 16’379 , 16’379 , 16’379 
 GR03 , GR03 , Solar , 833 , 833 , 833 , 776 , 776 , 776 
 GR03 , GR03 , Wind Onshore , 7’970 , 7’970 , 7’970 , 7’034 , 7’034 , 7’034 
 GR03 , GR03 , Oil , 98 , 98 , 98 , 98 , 98 , 98 
 HR00 , HR00 , Gas , 1’497 , 1’497 , 1’497 ,,,
 HR00 , HR00 , Hydro , 2’648 , 2’648 , 2’648 , 2’648 , 2’648 , 2’648 
 HR00 , HR00 , Solar , 2’524 , 2’524 , 2’524 , 1’047 , 1’047 , 1’047 
 HR00 , HR00 , Wind Onshore , 2’447 , 2’447 , 2’447 , 2’447 , 2’447 , 2’447 
